EventNum,Description,Title,Venue,Artists,Start Time,End Time,Street Address,City,State,Zip,URL,RSVP URL,Tags,Date,Day,Month,Day,Year,Start Time,Start Period,Start Hour,Start Minute,End Time,End Period,End Hour,End Minute,Venue+Address,Addres (Working),Street,City,State,Zip,Tags,Tags (Working),Consol. Event ID
706,0,Gzus Piece,Turnt Mansion,Gzus Piece,2013-03-15 15:00:00',2013-03-15 15:30:00',Private Drive ,Austin,TX,78735,http://austin2013.sched.org/event/6f8962a95bf81cb74169a807d9eb2277,-0,,"Friday March 15, 2013 3:00pm - 3:30pm",Friday,3,15,2013,3:00pm,pm,15,0,3:30pm,pm,15,30,"Turnt Mansion (Private Drive Austin, TX 78735)","Private Drive Austin, TX 78735",Private Drive ,Austin,TX,78735,-0,,#N/A
737,0,Hollywood Holt,Turnt Mansion,Hollywood Holt,2013-03-15 16:00:00',2013-03-15 16:45:00',Private Drive ,Austin,TX,78735,http://austin2013.sched.org/event/cf300cf38078a090433ae60972fbf18e,-0,,"Friday March 15, 2013 4:00pm - 4:45pm",Friday,3,15,2013,4:00pm,pm,16,0,4:45pm,pm,16,45,"Turnt Mansion (Private Drive Austin, TX 78735)","Private Drive Austin, TX 78735",Private Drive ,Austin,TX,78735,-0,,#N/A
763,0,Kongos,Hickory Street,Kongos | http://kongos.com,2013-03-15 17:00:00',2013-03-15 18:00:00',800 Congress Ave,,,,http://austin2013.sched.org/event/282e1277856e0e77ac616f614803f5be,-0,,"Friday March 15, 2013 5:00pm - 6:00pm",Friday,3,15,2013,5:00pm,pm,17,0,6:00pm,pm,18,0,Hickory Street (800 Congress Ave),800 Congress Ave,800 Congress Ave,,,,",",,#N/A
767,0,Stefan Ponce,Turnt Mansion,Stefan Ponce,2013-03-15 17:00:00',2013-03-15 17:45:00',Private Drive ,Austin,TX,78735,http://austin2013.sched.org/event/c68d1f8cca1aa3af892fef61cc6467b8,-0,,"Friday March 15, 2013 5:00pm - 5:45pm",Friday,3,15,2013,5:00pm,pm,17,0,5:45pm,pm,17,45,"Turnt Mansion (Private Drive Austin, TX 78735)","Private Drive Austin, TX 78735",Private Drive ,Austin,TX,78735,-0,,#N/A
800,0,Weekend Money,Turnt Mansion,Weekend Money,2013-03-15 18:00:00',2013-03-15 18:30:00',Private Drive ,Austin,TX,78735,http://austin2013.sched.org/event/e7a4120ab6022879567205d8cf647aa7,-0,,"Friday March 15, 2013 6:00pm - 6:30pm",Friday,3,15,2013,6:00pm,pm,18,0,6:30pm,pm,18,30,"Turnt Mansion (Private Drive Austin, TX 78735)","Private Drive Austin, TX 78735",Private Drive ,Austin,TX,78735,-0,,#N/A
805,0,DeepFro,Turnt Mansion,DeepFro,2013-03-15 18:30:00',2013-03-15 19:00:00',Private Drive ,Austin,TX,78735,http://austin2013.sched.org/event/5a6477b8cc92c5569f0b27a4a710b5a7,-0,,"Friday March 15, 2013 6:30pm - 7:00pm",Friday,3,15,2013,6:30pm,pm,18,30,7:00pm,pm,19,0,"Turnt Mansion (Private Drive Austin, TX 78735)","Private Drive Austin, TX 78735",Private Drive ,Austin,TX,78735,-0,,#N/A
820,-0,Don Harvey & A is Red,Strange Brew Lounge,0,2013-03-15 19:20:00',2013-03-15 20:30:00',5326 Manchaca Rd.,Austin,TX,78745,http://austin2013.sched.org/event/cfaf27293c4da9d67ee670cb361bb854,-0,,"Friday March 15, 2013 7:20pm - 8:30pm",Friday,3,15,2013,7:20pm,pm,19,20,8:30pm,pm,20,30,"Strange Brew Lounge (5326 Manchaca Rd., Austin, TX 78745)","5326 Manchaca Rd., Austin, TX 78745",5326 Manchaca Rd.,Austin,TX,78745,-0,,#N/A
881,A.V. Club SXSW Party,Balmorhea,Mohawk Outdoor,"Balmorhea | Balmorhea (pronounced BALMOREAY) is a sixpiece instrumental group from Austin, TX. Founded by Rob Lowe and Michael Muller in 2006, the band has produced five fulllength albums, including Stranger, which was released in October 2012. Inceptually influenced by the band’s namesake, a tiny West Texas town of 500 people, Balmorhea’s early work reflected motifs of the American Southwest: the folklore of Texas settlers, the emotive proclamations of the mountainous setting, and intimate studies …",2013-03-16 12:00:00',2013-03-16 13:00:00',912 Red River St,,,,http://austin2013.sched.org/event/88f2aa7cbf9d804693a4e1710c18c551,-0,"Band, Unofficial","Saturday March 16, 2013 12:00pm - 1:00pm",Saturday,3,16,2013,12:00pm,pm,12,0,1:00pm,pm,13,0,Mohawk Outdoor (912 Red River St),912 Red River St,912 Red River St,,,,"Mohawk Outdoor (912 Red River St), Band, Unofficial","Band, Unofficial",#N/A
896,A.V. Club SXSW Party,Valleys,Mohawk Indoor,"Valleys | From its inception, Valleys has been always changing. From the quiet and exploratory preliminary years to the stormy experimentation of recent works, the duo has always had one foot in the pop realm and the other in the dirt. Are You Going To Stand There And Talk Weird All Night? is the result of a year’s worth of writing through unexpected loss and spiritual recovery. Working with meditative and spatial elements, Valleys aims to blur the lines between noise, melody, repetition and space resul…",2013-03-16 12:15:00',2013-03-16 13:15:00',912 Red River St,,,,http://austin2013.sched.org/event/5ad271901259f8adb26f155b46382b81,-0,"Band, Unofficial","Saturday March 16, 2013 12:15pm - 1:15pm",Saturday,3,16,2013,12:15pm,pm,12,15,1:15pm,pm,13,15,Mohawk Indoor (912 Red River St),912 Red River St,912 Red River St,,,,"Mohawk Indoor (912 Red River St), Band, Unofficial","Band, Unofficial",#N/A
313,American Rag Presends Filter Magazine's Showdown at Cedar Street!,Soley,Cedar Street,Soley,2013-03-14 11:00:00',2013-03-14 11:30:00',208 W 4th S ,Austin,TX,78701,http://austin2013.sched.org/event/f34df7dd5c43a83b274561dd421dca6a,http://filtermagazine.com/index.php/rsvp/entry/american_rag_presents_filter_magazines_2013_sxsw_showdown,,"Thursday March 14, 2013 11:00am - 11:30am",Thursday,3,14,2013,11:00am,am,11,0,11:30am,am,11,30,"Cedar Street (208 W 4th S , Austin, TX, 78701)","208 W 4th S , Austin, TX, 78701",208 W 4th S ,Austin,TX,78701,"Free Stuff Free Food, Tags 21+",,#N/A
